stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
infill2,2,0,0.8,0.05,0.35,0.214642128,0.15,0.5750600119,0.2,0.6699223103,0.15,0.5554874832,0.2319873249,0
infill2,2,1,1.25,0.05,0.35,0.4623085064,0.15,0.5314287934,0.2,0.7194969193,0.15,0.5428847787,0.2623885253,0
infill2,2,2,0.8,0.05,0.35,0.15,0.2282385184,0.6510779485,0.2,0.6351467111,0.2312306024,0.583208103,0.202585025,0
infill2,2,3,0.8741811693,0.05,0.3591134102,0.4459650933,0.5,0.6314842915,0.2,0.5386147232,0.3711936164,0.4622404072,0.1909203256,0
infill2,2,4,0.8,0.05727838284,0.35,0.15,0.4176482191,0.6398416924,0.2,0.5839634961,0.15,0.4776033948,0.1826902175,0
infill2,2,5,1.136379445,0.8199664622,0.3504110824,0.4040707362,0.2132200026,0.6180886166,0.2,0.6604934551,0.4871282138,0.5452289754,0.250612317,0
infill2,2,6,1.25,0.05,0.35,0.5,0.5,0.6135545841,0.2,0.566512708,0.3789393045,0.4053781515,0.1940883769,0
infill2,2,7,0.8,0.05,0.35,0.15,0.15,0.6138741988,0.2,0.6476714022,0.5,0.6178231119,0.1,1
infill2,2,8,0.8,0.05,0.35,0.2585006502,0.15,0.5202167017,0.2,0.7274364237,0.15,0.5907458385,0.2090079441,0
infill2,2,9,1.178875525,0.942023629,0.35,0.3752560243,0.375815506,0.6141931867,0.2,0.5708448932,0.4930192828,0.4670024996,0.1957949296,1
infill2,2,10,1.25,0.05,0.35,0.5,0.5,0.619233263,0.2,0.4833586644,0.3362838662,0.5074968978,0.1540238179,1
infill2,2,11,0.822295378,0.05,0.35,0.15,0.15,0.7,0.2,0.6493184923,0.15,0.591842993,0.2141753339,0
infill2,2,12,1.206986295,1.0,0.35,0.5,0.15,0.5229127786,0.2,0.6946293357,0.5,0.4562059747,0.1926682785,0
infill2,2,13,1.25,1.0,0.75,0.3559978495,0.15,0.55593331,0.2,0.7062178011,0.3687388623,0.5339153452,0.2553568875,0
infill2,2,14,1.25,0.05,0.35,0.5,0.5,0.6899934398,0.2,0.6298658561,0.15,0.472496254,0.1813423086,0
infill2,2,15,1.22870357,0.2745983745,0.4838561458,0.15,0.4216788538,0.5555319829,0.2314687867,0.5887791388,0.5,0.4,0.1425256167,0
infill2,2,16,1.25,0.05,0.35,0.15,0.5,0.6136379847,0.3,0.6538451323,0.5,0.4,0.183260433,0
infill2,2,17,0.8,0.05,0.75,0.5,0.2901158251,0.6588545189,0.2,0.6428349628,0.5,0.7,0.1,1
infill2,2,18,0.9198839104,0.1889532176,0.35,0.15,0.3709656975,0.5954686315,0.2654388722,0.6884780822,0.3451399058,0.4,0.1441113833,0
infill2,2,19,0.8483890653,0.4195277489,0.35,0.188269426,0.258157263,0.5286960174,0.2221622741,0.6405019298,0.2992403691,0.4,0.183046074,0
infill2,2,20,1.25,0.05,0.35,0.15,0.5,0.5525968778,0.3,0.6734760997,0.5,0.4,0.1985796154,0
infill2,2,21,0.8,0.05,0.35,0.15,0.422256972,0.6055486512,0.3,0.85,0.15,0.4,0.1498911575,0
infill2,2,22,0.8060969469,0.05,0.35,0.2635834104,0.15,0.5335019634,0.2,0.6576684963,0.15,0.4,0.1882327387,0
infill2,2,23,0.8,0.05,0.75,0.15,0.4554919321,0.6163965915,0.3,0.85,0.15,0.4,0.1537323668,0
infill2,2,24,0.8,0.05,0.75,0.15,0.4525486346,0.6356774068,0.3,0.85,0.15,0.4,0.1940372647,0
infill2,2,25,0.8,0.05,0.75,0.15,0.15,0.4798075181,0.2,0.85,0.1533791743,0.5307329648,0.3,0
infill2,2,26,0.8,0.05,0.75,0.15,0.5,0.6788459674,0.3,0.85,0.15,0.4,0.1,0
infill2,2,27,1.25,1.0,0.35,0.5,0.5,0.5619776119,0.2,0.6093650841,0.15,0.4,0.1,0
infill2,2,28,1.25,0.05,0.35,0.15,0.5,0.4,0.2,0.85,0.15,0.4,0.2354256182,0
infill2,2,29,0.8,0.05,0.75,0.5,0.5,0.7,0.3,0.45,0.5,0.7,0.3,1
infill2,2,30,1.228901797,0.05,0.4193596016,0.3650042605,0.5,0.6971123513,0.2372763486,0.5801451672,0.2480997256,0.4,0.1,0
infill2,2,31,0.8,0.05,0.35,0.15,0.15,0.4,0.3,0.45,0.5,0.7,0.3,1
infill2,2,32,1.048631079,0.05,0.3696860564,0.3910656093,0.5,0.7,0.2,0.45,0.5,0.4,0.1555614287,1
infill2,2,33,0.8,0.05,0.3692239976,0.3823882146,0.5,0.6908841786,0.2,0.45,0.5,0.4,0.1,1
infill2,2,34,0.8,0.05,0.35,0.15,0.15,0.5852554871,0.2000605058,0.6289822847,0.150156427,0.5726002751,0.1831195524,0
infill2,2,35,0.8,0.05,0.35,0.4251758065,0.15,0.5663835413,0.2001690193,0.6836111905,0.15,0.5021712551,0.225840838,0
